AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeTEC,valorTEC,quantidadeCheque,valorCheque,quantidadeBoleto,valorBoleto,quantidadeDOC,valorDOC
2024-06-01,"5,278,554,670","2,177,700,860,000","63,599,320","3,527,912,280,000",0,0,"9,642,760","36,114,740,000","327,754,930","475,278,610,000",0,0
2024-05-01,"5,229,619,390","2,138,799,130,000","69,023,110","3,482,036,970,000",0,0,"10,467,850","40,133,550,000","349,180,920","506,302,820,000",0,0
2024-04-01,"4,924,616,350","2,084,831,370,000","70,647,150","3,652,606,480,000",0,0,"11,179,220","43,295,400,000","361,633,280","524,619,690,000",0,0
2024-03-01,"4,903,478,020","1,937,041,230,000","67,565,050","3,333,054,270,000",0,0,"10,122,460","36,644,550,000","336,435,460","469,047,590,000",0,0
2024-02-01,"4,367,181,800","1,718,817,510,000","65,805,870","2,981,226,450,000","60,010","109,320,000","10,373,380","37,076,260,000","332,269,470","463,066,010,000","61,890","34,210,000"
2024-01-01,"4,371,600,040","1,819,125,450,000","70,343,250","3,337,344,850,000","387,180","815,940,000","11,919,120","41,615,890,000","363,550,320","516,702,440,000","600,760","616,580,000"
2023-12-01,"4,804,459,100","1,933,836,670,000","80,202,260","3,629,758,880,000","1,152,370","2,498,310,000","11,241,910","39,208,220,000","337,552,050","484,391,910,000","1,412,030","1,399,420,000"
2023-11-01,"4,231,283,460","1,740,874,020,000","74,398,370","3,135,994,810,000","754,560","1,711,450,000","11,866,270","40,735,160,000","345,234,360","490,503,750,000","1,506,380","1,521,770,000"
2023-10-01,"4,069,683,330","1,666,062,390,000","71,870,520","3,325,168,120,000","664,920","1,578,120,000","12,902,420","46,646,900,000","362,721,590","512,336,660,000","1,746,380","1,763,790,000"
2023-09-01,"3,846,749,030","1,539,042,270,000","69,407,760","3,190,049,860,000","483,310","1,085,190,000","11,916,380","41,653,430,000","340,115,130","471,176,870,000","2,636,880","2,532,140,000"
2023-08-01,"3,767,327,850","1,529,362,910,000","76,572,580","3,406,864,680,000","614,090","1,481,220,000","13,113,980","46,973,840,000","360,865,300","501,254,740,000","5,253,950","3,197,770,000"
2023-07-01,"3,532,968,050","1,422,663,640,000","71,737,310","3,363,337,340,000","667,680","1,589,980,000","12,782,700","43,634,750,000","353,354,670","479,276,620,000","4,722,990","4,401,980,000"
2023-06-01,"3,296,756,820","1,365,737,170,000","73,637,380","3,658,988,120,000","710,660","1,683,400,000","12,898,390","44,354,610,000","348,653,580","475,375,140,000","3,810,800","4,006,270,000"
2023-05-01,"3,189,216,580","1,343,030,270,000","75,894,990","3,763,925,980,000","620,330","1,492,520,000","14,171,910","50,982,540,000","366,029,090","509,111,410,000","4,139,190","4,971,970,000"
2023-04-01,"2,910,507,920","1,191,585,300,000","69,286,740","3,234,549,030,000","661,700","1,594,820,000","12,188,200","43,399,520,000","326,293,010","443,418,560,000","2,378,170","2,279,990,000"
2023-03-01,"3,001,956,410","1,280,326,310,000","80,528,820","3,635,596,420,000","680,540","1,584,040,000","13,763,410","55,997,480,000","362,664,110","487,777,170,000","2,595,330","2,565,470,000"
2023-02-01,"2,539,124,770","1,055,639,240,000","70,232,830","2,889,422,930,000","645,050","1,512,530,000","12,393,220","50,947,110,000","325,643,690","427,177,900,000","2,436,120","2,367,580,000"
2023-01-01,"2,575,314,320","1,111,232,730,000","77,982,340","3,394,583,490,000","632,370","1,438,590,000","14,091,410","46,687,430,000","357,005,850","479,459,520,000","2,499,450","2,534,060,000"
2022-12-01,"2,872,229,810","1,221,189,930,000","91,361,540","3,810,324,550,000","1,272,380","2,757,910,000","14,246,950","47,529,190,000","349,044,000","478,219,380,000","3,211,720","3,117,790,000"
2022-11-01,"2,498,449,430","1,075,310,970,000","83,094,380","3,323,697,770,000","602,370","1,316,400,000","14,501,400","48,575,490,000","349,118,910","473,580,190,000","3,248,990","3,187,940,000"
2022-10-01,"2,436,486,470","1,046,413,030,000","79,833,930","3,248,099,310,000","657,190","1,535,220,000","14,985,600","49,550,280,000","353,610,130","477,418,670,000","3,411,030","3,278,900,000"
2022-09-01,"2,287,655,110","1,019,526,370,000","85,504,310","3,471,556,340,000","483,810","1,073,510,000","15,454,120","52,438,110,000","350,208,810","475,684,010,000","4,247,830","4,047,070,000"
2022-08-01,"2,180,316,370","983,789,490,000","88,850,510","3,587,442,450,000","440,600","973,350,000","16,827,090","57,856,850,000","373,212,230","505,529,000,000","6,694,350","6,367,150,000"
2022-07-01,"2,060,630,590","933,098,090,000","82,325,310","3,378,764,360,000","753,360","1,688,600,000","15,237,060","50,103,610,000","342,147,160","450,111,250,000","7,105,100","6,692,240,000"
2022-06-01,"1,925,887,770","888,818,170,000","84,009,110","3,541,847,800,000","692,630","1,615,030,000","15,759,320","51,717,740,000","350,345,010","460,839,190,000","6,785,490","6,596,060,000"
